Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Attrited Customer,56.47529028682484,M,4,Unknown,Married,$60K - $80K,Blue,38,3,5,3,795.6488532572654,1501,939.0,0.744,1087.6957814235589,46.0,0.66,0.615
Attrited Customer,53.48264849662827,F,3,Graduate,Single,Less than $40K,Blue,28,2,7,3,2873.4879963016742,1067,7484.0,0.931,387.1806876439086,18.0,0.778,0.125
Attrited Customer,50.985807857437386,F,2,Unknown,Single,Less than $40K,Blue,36,3,8,2,1204.4105312304655,2517,1130.0,0.842,1176.6386941038081,19.0,0.933,0.69
Attrited Customer,46.868348524385254,F,1,Post-Graduate,Married,Less than $40K,Blue,21,2,4,2,2973.767338556204,2005,3337.0,0.682,5165.929721188346,46.0,0.709,0.375
Attrited Customer,57.70064861446782,M,1,College,Divorced,$80K - $120K,Silver,39,2,8,2,20337.256196190214,2361,32155.0,0.529,569.8985759918941,16.0,0.385,0.068
Existing Customer,60.13424817987256,F,2,Unknown,Married,$40K - $60K,Blue,36,2,5,1,4455.845132940632,1020,13780.0,0.896,3441.4761996005614,56.0,0.593,0.069
Attrited Customer,45.935277292994854,M,4,Unknown,Married,$40K - $60K,Blue,38,4,6,3,582.114326888287,845,1017.0,0.604,1651.7243941553243,33.0,0.889,0.454
Attrited Customer,46.41230368569439,F,2,Unknown_Education,Single,Unknown,Blue,36,4,6,1,887.3833866266824,0,1785.0,0.649,1470.1601678423729,47.0,0.907,0.0
Existing Customer,53.13676022633081,M,4,College,Single,$60K - $80K,Blue,38,6,7,3,1846.9484157469828,969,4036.0,0.727,1874.3689697866453,39.0,0.821,0.194
Attrited Customer,66.13488177692241,F,4,Unknown,Married,Less than $40K,Blue,41,3,6,3,942.5523643759051,0,2028.0,0.823,1405.9344505317117,34.0,0.733,0.0
Attrited Customer,58.5563590178035,M,2,Graduate,Married,$120K +,Blue,42,6,5,1,4734.936223530519,1015,7205.0,1.063,976.7511496155017,38.0,0.878,0.123
Attrited Customer,71.2154422954558,F,2,Unknown,Married,Less than $40K,Blue,43,3,7,2,,910,528.3,0.66,628.2053898509465,21.0,0.467,0.633
Existing Customer,58.75945833874602,F,3,Unknown,Divorced,Less than $40K,Blue,30,3,5,1,1374.6633217276697,2079,826.0,0.789,1794.5366979471105,37.0,0.909,0.716
Attrited Customer,63.84794614420122,F,4,Uneducated,Married,Less than $40K,Blue,36,3,6,3,647.6021100903301,0,1438.3,0.346,647.6129365542764,17.0,0.407,0.0
Existing Customer,40.02797698588783,M,0,Graduate,Single,$40K - $60K,Blue,36,2,9,3,2352.9595284302727,1835,2826.0,0.999,5263.084160461012,66.0,0.964,0.394
Existing Customer,47.01965178323777,F,2,Graduate,Single,Unknown,Blue,27,4,6,3,5640.464700279989,1246,12183.0,1.055,1060.0445295531217,32.0,0.737,0.093
Existing Customer,52.472435543480614,M,2,Uneducated,Married,$60K - $80K,Blue,13,4,8,2,705.856483526157,1944,299.0,0.942,1408.399492632945,44.0,0.674,0.867
Existing Customer,59.76737209429354,M,3,High School,Married,$120K +,Blue,40,6,8,2,3243.0837912808106,1692,5627.0,0.701,610.995512157419,13.0,0.611,0.231
Attrited Customer,60.08233563949269,F,1,High School,Married,$40K - $60K,Blue,53,2,7,1,2928.649548791773,0,5249.0,0.758,326.93796434908194,12.0,0.722,0.0
Existing Customer,55.13475049768131,M,3,College,Married,$120K +,Silver,27,6,7,3,11682.699726838628,2315,32201.0,0.599,634.7729957970068,22.0,0.704,0.067
Attrited Customer,47.25121663016681,F,2,Graduate,Married,Unknown,Blue,37,6,6,2,7871.609710755741,1274,22947.0,0.452,830.2916046864958,35.0,0.853,0.053
Attrited Customer,60.43805571576994,F,4,Graduate,Married,Less than $40K,Blue,36,5,6,3,1046.5274127715352,528,1600.0,0.525,1067.244366758979,14.0,0.414,0.248
Existing Customer,71.35620345946408,F,2,Graduate,Single,$40K - $60K,Blue,44,6,5,3,1161.902591265566,1219,2141.0,0.412,338.1672227457251,13.0,1.0,0.363
Attrited Customer,46.10015220382736,M,4,Graduate,Single,$80K - $120K,Silver,29,2,8,6,19198.132410444647,0,34516.0,0.434,789.2500805427667,20.0,0.828,0.0
Existing Customer,58.92627605498902,M,5,Uneducated,Single,$80K - $120K,Blue,38,3,10,4,4155.721568674075,788,6772.0,1.193,2131.738466308336,26.0,0.7,0.104
Attrited Customer,44.174996423516475,F,0,Graduate,Married,Less than $40K,Blue,38,4,8,3,1979.5572561264157,1468,2628.0,0.627,1675.9756416774583,38.0,0.737,0.358
Existing Customer,60.7154088203588,M,1,High School,Single,$80K - $120K,Blue,29,3,4,2,4979.357762547055,2101,7579.0,0.626,7080.199415876887,50.0,0.695,0.217
Existing Customer,54.75327119564436,F,4,Unknown_Education,Married,Less than $40K,Blue,43,2,6,2,913.911721496211,1446,1556.0,0.815,1480.5832788892933,24.0,0.947,0.482
Attrited Customer,53.593685425306596,M,3,Graduate,Divorced,$120K +,Silver,42,6,5,3,17463.18575276437,1230,33286.0,0.608,458.81597873909004,21.0,0.407,0.036
Attrited Customer,61.93281536447086,M,3,Graduate,Married,Less than $40K,Blue,38,2,6,3,2373.1130981655897,1767,5200.0,0.54,467.1669855342633,15.0,0.52,0.254
Attrited Customer,50.55158573168201,F,3,High School,Unknown,Less than $40K,Blue,41,2,4,4,471.76653570903846,0,1515.0,0.819,1059.0606717817802,35.0,0.818,0.0
Existing Customer,57.47850931779776,M,4,Unknown_Education,Divorced,$60K - $80K,Silver,36,4,8,3,10187.62076160451,0,33771.0,0.791,1067.7148716314528,40.0,0.829,0.0
Attrited Customer,42.881348127496594,F,3,Graduate,Married,,Blue,31,5,7,0,,2053,22883.0,0.716,665.0603204044187,20.0,0.727,0.082
Attrited Customer,73.60972596368714,F,1,Unknown_Education,Unknown,$40K - $60K,Blue,56,3,9,1,2235.7236755868466,2517,1290.0,0.506,456.1482288091136,20.0,0.5,0.661
Existing Customer,51.025677967710706,M,2,College,Unknown,$80K - $120K,Blue,24,3,8,4,7698.5858847116015,0,14320.0,0.754,1687.4094925075376,39.0,0.791,0.0
Attrited Customer,58.47623513072302,M,4,Unknown,Married,,Blue,36,4,10,2,3888.752768843662,1749,8836.0,0.655,4442.929204733529,57.0,0.588,0.165
Existing Customer,58.335970747237994,F,4,Uneducated,Single,Less than $40K,Blue,37,6,9,4,1042.2110253676983,872,1774.0,0.865,1228.7954118351158,34.0,0.739,0.33
Attrited Customer,74.37387431163278,M,2,College,Single,$80K - $120K,Blue,46,3,8,5,5326.821784156725,1696,10844.0,0.799,8049.73594809034,55.0,0.716,0.135
Existing Customer,46.14707605256014,M,0,Unknown_Education,Single,Less than $40K,Blue,19,3,9,4,1048.3980816783685,0,3480.0,0.731,1333.1524846040463,45.0,0.829,0.0
Existing Customer,57.495652290409325,F,2,Unknown,Married,Less than $40K,Blue,39,3,9,2,1192.890321498501,0,2046.0,0.936,1248.3347858476434,37.0,0.578,0.0
Existing Customer,69.30735584235555,F,1,Post-Graduate,Single,$40K - $60K,Blue,46,4,7,3,1086.4576898090977,1219,1056.0,0.639,1896.3207858175085,43.0,0.6,0.536
Existing Customer,65.91265936724855,M,3,Graduate,Single,$120K +,Blue,43,5,5,3,12339.370807983658,0,34516.0,0.813,1142.5635741658652,33.0,0.61,0.0
Existing Customer,63.36711919905889,M,4,High School,Single,$60K - $80K,Blue,33,5,5,3,3808.6241373822245,838,8604.0,0.654,973.5582489810529,24.0,0.853,0.089
Attrited Customer,71.06361899506858,F,1,Unknown_Education,Single,$40K - $60K,Blue,41,3,7,4,1169.380254988615,0,2425.0,0.187,696.7590548805921,14.0,0.2,0.0
Attrited Customer,48.1542288310569,F,2,Unknown,Married,Unknown,Silver,21,2,6,2,9857.82198431858,0,31718.0,0.91,3340.815528421398,34.0,0.641,0.0
Attrited Customer,67.99525935579513,M,2,College,Married,,Blue,53,2,9,0,12987.136509098811,2395,22012.0,1.071,885.036005728869,21.0,0.714,0.098
Attrited Customer,42.102544445938506,M,0,High School,Unknown,$60K - $80K,Silver,27,2,7,2,15057.444068842118,1396,27685.0,2.204,342.58753110829576,15.0,0.714,0.048
Existing Customer,62.83888082407694,F,3,Uneducated,Single,Less than $40K,Blue,47,3,7,3,2424.602640291802,1960,5517.0,1.008,987.4782848770459,43.0,0.583,0.262
Attrited Customer,51.02197493242675,F,1,Doctorate,Single,Less than $40K,Blue,15,1,6,3,,1180,2529.0,0.645,3583.631693620205,41.0,0.897,0.318
Attrited Customer,54.342652886418186,M,4,Graduate,Single,$60K - $80K,Blue,27,3,9,2,10698.382328706926,960,20879.0,0.566,1318.669475598624,36.0,0.516,0.044
Attrited Customer,67.49593145192624,M,2,Graduate,Single,$120K +,Blue,37,2,8,2,6868.396173729194,0,14543.0,0.788,735.4512074538146,19.0,0.423,0.0
Existing Customer,49.32741920564115,F,2,Graduate,Single,Less than $40K,Blue,32,6,7,2,950.0106402705218,2117,133.0,1.162,733.0868587510113,18.0,2.875,0.941
Existing Customer,51.56213104229697,F,3,Unknown,Single,Less than $40K,Blue,36,3,10,0,457.3075250650153,0,1438.3,0.678,2011.4757445441503,23.0,0.821,0.0
Existing Customer,44.77138131186228,F,1,College,Divorced,Unknown,Blue,17,5,7,2,6463.623707106862,1488,10393.0,0.587,1615.9640385793348,43.0,0.891,0.125
Existing Customer,54.17491032728877,F,3,Uneducated,Divorced,Less than $40K,Blue,30,5,8,4,3403.2563614060005,621,7143.0,0.67,982.1484686946842,37.0,0.756,0.08
Existing Customer,56.74390142263514,M,2,Graduate,Married,$60K - $80K,Blue,33,4,9,4,1113.2231800771958,2309,339.0,1.006,858.2348155039384,25.0,0.853,0.872
Attrited Customer,50.721053575873015,F,2,Uneducated,Divorced,Less than $40K,Blue,19,6,7,0,,1961,892.0,0.866,806.8342809875032,40.0,0.789,0.687
Attrited Customer,52.788673172603154,F,0,High School,Single,Less than $40K,Silver,36,4,9,2,8012.170498430253,1941,11806.0,0.748,5818.3244221311215,44.0,0.608,0.141
Attrited Customer,60.00487880127667,F,3,Unknown,Single,Less than $40K,Blue,32,5,9,0,1269.8343582443697,1465,864.0,0.815,998.4350288559285,36.0,0.72,0.629
Existing Customer,58.47639566957593,F,3,Unknown_Education,Single,Unknown,Blue,34,5,6,2,4364.9522495397305,0,10100.0,0.525,355.68357540662487,7.0,1.571,0.0
Attrited Customer,51.70699102467356,F,1,Uneducated,Unknown,Less than $40K,Blue,25,1,7,3,1814.7284132937568,0,3074.0,0.718,945.4242223692867,27.0,0.688,0.0
Existing Customer,61.870019860901,M,3,College,Married,,Blue,35,1,8,1,512.1806262050505,0,1438.3,0.887,1393.9632788439035,44.0,0.804,0.0
Existing Customer,58.13016339630168,M,3,Graduate,Married,$60K - $80K,Blue,38,5,7,3,7283.912094090247,2157,14763.0,0.629,1147.0354477545989,30.0,0.5,0.127
Existing Customer,47.18859581326602,F,1,Graduate,Unknown,Less than $40K,Blue,36,3,8,1,2550.6391372500552,1912,4778.0,0.609,1493.7723778582788,34.0,0.538,0.286
Existing Customer,56.776494322406265,F,3,High School,Single,$40K - $60K,Blue,38,5,6,1,3185.2085755751145,0,5536.0,0.695,1958.1309397024581,47.0,0.822,0.0
Existing Customer,66.39538643086667,M,3,Unknown_Education,Single,$60K - $80K,Gold,36,5,7,1,14850.09887484854,1255,33261.0,0.731,1135.9385287748257,40.0,0.698,0.036
Attrited Customer,58.3444585720638,M,4,Uneducated,Married,$80K - $120K,Blue,39,2,9,2,4716.1243732802295,915,7646.0,0.637,2483.872451855542,27.0,0.491,0.107
Attrited Customer,57.908558535208606,M,2,Uneducated,Married,$80K - $120K,Blue,39,2,7,1,7618.347436442512,1293,14601.0,0.693,4158.355763669871,63.0,0.735,0.081
Attrited Customer,47.929891392934586,M,4,Doctorate,Single,$60K - $80K,Blue,31,6,7,0,911.3077326065375,1018,684.0,0.645,1576.237484376509,30.0,0.72,0.598
Attrited Customer,46.53612974785311,M,0,Graduate,Divorced,$40K - $60K,Blue,36,2,7,1,2679.4397236991567,1253,6220.0,0.98,5633.225380591411,62.0,0.733,0.168
Attrited Customer,53.166131726456435,F,1,Unknown_Education,Single,Less than $40K,Blue,36,4,9,2,,0,2372.0,0.597,1144.7472594932406,14.0,0.464,0.0
Attrited Customer,50.14243250226653,M,4,Graduate,Married,$80K - $120K,Blue,35,3,5,3,1635.443022730649,2517,787.0,0.741,6866.321004247401,51.0,0.818,0.762
Existing Customer,40.24997572280317,F,2,Graduate,Divorced,,Silver,27,2,8,1,,1526,32253.0,0.879,7258.848628530898,39.0,0.8,0.045
Existing Customer,55.41633680243025,F,2,College,Married,$40K - $60K,Blue,31,3,6,2,1020.0812105388592,2143,758.0,0.948,951.6963984305223,27.0,0.733,0.739
Existing Customer,44.01288810053585,F,1,Unknown,Single,Less than $40K,Blue,36,3,6,3,2080.1481141557992,0,3764.0,0.583,654.366726811062,29.0,0.357,0.0
Existing Customer,64.76737706296686,M,3,Graduate,Single,$60K - $80K,Silver,36,3,8,2,17517.292332555706,1743,27920.0,0.667,5880.018515224839,49.0,0.722,0.059
Attrited Customer,65.05276123545279,F,3,Uneducated,Single,Unknown,Blue,35,1,10,3,1041.9397740733002,1899,547.0,0.714,1936.6491390134822,51.0,0.74,0.776
Existing Customer,46.56974051473735,F,2,Graduate,Married,$40K - $60K,Blue,26,5,6,2,1509.053295760631,1424,1151.0,0.543,658.0162394067464,19.0,0.737,0.553
Existing Customer,70.59611045372594,M,2,Graduate,Married,$80K - $120K,Blue,36,4,8,2,,1882,984.0,0.803,1939.8229621526386,50.0,0.826,0.657
Existing Customer,68.84128195597255,F,3,Graduate,Married,$40K - $60K,Blue,44,3,9,4,861.5260118386059,2357,279.0,0.654,500.70142080429963,19.0,0.545,0.894
Attrited Customer,50.32438901867522,F,4,High School,Married,Less than $40K,Blue,24,3,8,4,,872,683.0,0.772,578.1724033119947,18.0,0.645,0.561
Existing Customer,65.53795561129033,F,3,Post-Graduate,Single,Less than $40K,Blue,42,3,5,2,828.459013745171,1623,867.0,0.79,1149.6830641676142,32.0,0.622,0.652
Existing Customer,52.523359486509804,F,3,Unknown_Education,Single,$40K - $60K,Blue,26,4,9,0,,0,7277.0,0.758,1174.935490358859,32.0,0.578,0.0
Attrited Customer,60.675217051547044,F,3,Unknown_Education,Married,Less than $40K,Blue,36,6,8,4,1199.6841768510872,2260,296.0,0.487,621.9330938075508,17.0,0.579,0.884
Existing Customer,53.71956128376356,F,2,Graduate,Married,Less than $40K,Blue,35,3,4,3,1147.752681872041,0,3511.0,0.758,2350.943203630887,45.0,0.708,0.0
Existing Customer,63.18428144317732,F,4,Graduate,Married,$40K - $60K,Blue,36,3,6,3,1650.4983537576904,2472,2281.0,1.274,621.923928352938,21.0,0.815,0.52
Existing Customer,74.77571612970559,F,2,Uneducated,Married,$40K - $60K,Blue,48,4,5,1,1604.9112868995649,2138,873.0,0.565,1291.5815905602199,30.0,0.875,0.71
Attrited Customer,49.7215843129022,M,4,High School,Unknown,$40K - $60K,Blue,32,1,5,3,,1335,5981.0,0.563,830.8269739030387,25.0,0.471,0.182
Existing Customer,48.077889373827894,F,2,Graduate,Married,Less than $40K,Blue,30,5,6,2,722.0741328734682,1392,685.0,1.553,400.3756799101179,13.0,1.25,0.67
Existing Customer,63.06161357415826,M,1,Unknown_Education,Married,$40K - $60K,Blue,36,4,5,3,2314.827866104695,1889,2269.0,0.872,7197.4153192134745,57.0,0.831,0.454
Existing Customer,78.43158087145005,F,2,Graduate,Single,$40K - $60K,Blue,43,3,6,3,,1865,315.0,0.748,1170.722691929386,44.0,0.51,0.856
Attrited Customer,50.25037291135404,F,4,Graduate,Married,Less than $40K,Blue,24,3,8,2,1765.544955934106,2517,744.0,0.378,392.83357741997577,10.0,0.059,0.772
Existing Customer,41.93452402939995,F,2,Unknown_Education,Married,$40K - $60K,Blue,36,4,6,1,1249.2915123485184,1867,881.0,0.816,2000.2567738580701,36.0,1.027,0.679
Existing Customer,65.74797657884417,F,2,Graduate,Married,$40K - $60K,Blue,49,5,6,2,,1720,1657.0,0.491,748.5952310532763,15.0,0.391,0.509
Existing Customer,52.20915760338019,M,3,Graduate,Divorced,$60K - $80K,Silver,31,2,6,3,10576.706624574234,1509,33007.0,0.728,2828.7085943799743,46.0,0.625,0.044
Existing Customer,86.02105646240805,F,0,Graduate,Single,Unknown,Blue,36,5,7,4,1377.1293456712951,2284,586.0,0.661,1412.8309065708254,30.0,0.574,0.796
Existing Customer,63.84350799441211,F,2,High School,Married,$40K - $60K,Blue,53,4,6,3,1309.5982188482005,1249,1393.0,0.682,1685.6096991712689,26.0,0.723,0.473
Attrited Customer,52.14496997658995,F,4,Graduate,Married,,Blue,36,4,9,4,,0,2286.0,1.057,1142.4083148173017,14.0,0.481,0.0
Existing Customer,45.47405783541668,M,0,Uneducated,Single,$60K - $80K,Blue,36,4,6,3,1138.7974904524372,0,2464.0,0.502,813.9369634314278,26.0,0.429,0.0
Attrited Customer,47.36321891991866,M,2,Unknown,Unknown,$60K - $80K,Blue,26,2,5,3,6665.034660491855,1129,10123.0,0.462,869.8638454199308,9.0,0.476,0.1
Attrited Customer,64.91399597292853,F,2,Uneducated,Single,,Blue,47,1,6,3,850.0984186622021,0,1699.0,0.602,621.8661254673814,15.0,0.531,0.0
Existing Customer,58.0877524607822,M,2,College,Single,$120K +,Blue,32,6,8,2,3182.154269425071,1513,3976.0,0.87,1644.4380541615442,30.0,0.548,0.276
Attrited Customer,57.63774693665225,F,4,Post-Graduate,Single,Less than $40K,Blue,36,6,6,3,762.3899578704561,674,764.3,1.769,626.8617432251162,17.0,1.292,0.469
Attrited Customer,62.05731371754108,M,3,Uneducated,Married,$40K - $60K,Blue,40,5,5,2,1537.559757130954,0,3469.0,0.956,1036.7559451751085,34.0,0.951,0.0
Attrited Customer,57.294433096890806,M,2,Unknown,Single,$80K - $120K,Blue,34,1,9,2,2006.0186304208617,1411,2430.0,0.785,2788.5314544167954,47.0,0.688,0.367
Existing Customer,66.06006935154987,F,4,Unknown_Education,Married,$40K - $60K,Blue,29,6,9,2,921.6536682545501,0,1564.0,1.114,1340.2976970291402,34.0,0.733,0.0
Existing Customer,79.04184882474438,F,1,Unknown,Married,Less than $40K,Blue,56,6,3,0,460.3151559544433,0,1438.3,0.813,390.61191559634284,18.0,1.095,0.0
Attrited Customer,72.63601462726825,F,0,Unknown_Education,Unknown,$40K - $60K,Blue,42,4,9,2,976.5192900282435,1544,1179.0,0.794,1563.4437375463829,40.0,1.258,0.567
Existing Customer,46.11442427753087,F,0,Graduate,Married,,Blue,20,5,5,1,768.584523203061,0,1438.3,0.689,953.4821817976346,41.0,0.755,0.0
Existing Customer,60.907175422979186,F,1,Post-Graduate,Divorced,$40K - $60K,Blue,44,6,9,2,1421.257115040814,1871,726.0,0.899,1253.9101491292067,33.0,0.725,0.72
Attrited Customer,61.82472823037078,F,3,High School,Single,Less than $40K,Blue,36,4,7,3,800.652823307485,1900,447.0,0.845,922.4162996139136,27.0,0.621,0.81
Attrited Customer,78.77850800485196,M,2,Unknown,Married,,Blue,56,4,7,4,696.1219344975044,1010,1308.0,0.81,420.017689264354,13.0,0.591,0.436
Existing Customer,58.815004915494896,M,4,Unknown,Married,$80K - $120K,Blue,35,3,7,4,3128.0354542887335,1430,4159.0,0.632,444.454453357793,18.0,0.722,0.256
Existing Customer,53.89319998381218,F,5,Unknown_Education,Single,Less than $40K,Blue,38,3,8,0,790.9117616430754,1492,652.0,0.96,1207.3512869192843,25.0,0.571,0.696
Existing Customer,59.238970843969746,F,2,Unknown,Single,Less than $40K,Blue,43,6,4,5,2557.869401906024,1594,3759.0,0.973,1641.657090341659,46.0,0.837,0.298
Existing Customer,49.66195474366078,F,2,Uneducated,Married,Unknown,Blue,32,5,10,3,2260.199191721393,0,4708.0,0.718,2262.640706620667,44.0,0.679,0.0
Attrited Customer,52.877737276651104,F,3,Unknown_Education,Single,,Blue,27,1,7,2,1361.8484594744148,2100,796.0,0.728,1923.513863588649,46.0,0.694,0.725
Attrited Customer,67.69360414850513,M,3,Unknown_Education,Divorced,,Blue,40,4,10,3,2031.5267699372241,0,6397.0,0.632,1181.871204529225,22.0,0.556,0.0
Existing Customer,59.5591280304576,M,3,High School,Unknown,$80K - $120K,Blue,36,3,4,3,3488.386886396658,1707,5926.0,0.529,697.7153809221498,29.0,0.657,0.224
Existing Customer,43.71295868678108,F,2,High School,Single,$40K - $60K,Blue,25,6,7,3,605.5987123633724,0,1438.3,0.783,823.2591926385587,42.0,0.596,0.0
Existing Customer,54.67544932360137,F,2,High School,Married,$40K - $60K,Blue,36,5,7,4,962.610888702167,1490,1112.0,0.66,960.890692042744,30.0,0.66,0.573
Existing Customer,64.83494992885858,F,1,Unknown_Education,Single,$40K - $60K,Silver,47,5,8,4,5300.766297866563,1590,15087.0,0.885,631.8710455469687,19.0,0.609,0.095
Existing Customer,55.895812996734655,M,3,Unknown_Education,Married,$60K - $80K,Blue,32,4,5,3,1731.1886742992197,1043,4028.0,0.667,975.1675238266715,35.0,0.722,0.206
Attrited Customer,67.97226843677385,F,4,Unknown_Education,Married,Unknown,Blue,41,2,9,5,1256.8382726686536,696,3157.0,0.882,952.3128486032207,15.0,0.583,0.181
Attrited Customer,50.78180696879312,M,5,High School,Married,$80K - $120K,Blue,48,2,7,3,3916.53369677733,0,7464.0,0.865,3117.081249103426,24.0,1.0,0.0
Existing Customer,61.74484487936382,F,2,Graduate,Married,Less than $40K,Blue,47,2,6,1,1658.5378549862564,980,4138.0,0.786,5378.6939809284795,45.0,0.627,0.191
Existing Customer,58.20840739067506,M,3,Unknown_Education,Married,$120K +,Silver,36,3,6,2,10529.701409152844,1453,33063.0,0.357,1586.1155170240756,24.0,0.949,0.042
Existing Customer,49.774668058465394,M,1,Unknown_Education,Married,$60K - $80K,Blue,22,3,7,0,1823.302403016253,1998,1639.0,1.412,1015.2001961059512,20.0,0.931,0.549
Existing Customer,63.87957465818313,F,5,High School,Single,Unknown,Blue,38,2,8,3,5327.882479445684,1513,9774.0,0.672,1404.7181766571448,26.0,0.946,0.134
Existing Customer,54.777035290396704,F,5,Uneducated,Single,Less than $40K,Blue,39,3,6,4,954.5673861240215,2424,737.0,0.617,1773.5477902915393,39.0,0.784,0.767
Attrited Customer,62.44257591402436,F,1,Graduate,Single,Less than $40K,Blue,49,3,8,2,1175.5362911229272,2266,664.0,0.734,1727.9392311265142,22.0,1.323,0.773
Attrited Customer,71.79796846205944,M,1,High School,Married,Less than $40K,Blue,47,3,5,1,756.7727896556357,0,1759.0,1.058,307.343724018312,9.0,0.5,0.0
Attrited Customer,51.100856979647844,F,2,High School,Married,$40K - $60K,Blue,28,2,8,3,708.1922232836375,0,1438.3,0.926,1605.7980861624826,43.0,0.773,0.0
Existing Customer,51.106977006716875,F,5,Unknown_Education,Married,$40K - $60K,Blue,38,3,7,1,1149.8125308678116,716,2210.0,0.949,1410.7051791522526,35.0,0.592,0.245
Existing Customer,53.755430579819134,M,3,Unknown,Married,$60K - $80K,Silver,30,4,6,4,15414.73482800244,1281,24575.0,0.975,1158.219952099826,36.0,0.795,0.05
Existing Customer,50.21340329973528,M,3,Uneducated,Single,$40K - $60K,Blue,35,2,9,3,3365.0245909658142,1484,7082.0,0.807,1715.1681666784486,45.0,0.854,0.173
Existing Customer,49.408695591438004,M,4,Unknown_Education,Single,Less than $40K,Blue,21,2,9,1,1645.1038363020302,1504,1925.0,0.601,1006.4433835807932,44.0,1.0,0.439
Attrited Customer,41.78953131575616,F,3,High School,Married,Less than $40K,Blue,36,6,4,2,2040.4801452110096,1542,2338.0,1.015,422.51688455643756,19.0,0.5,0.397
Existing Customer,80.33697930021435,F,0,Uneducated,Single,Less than $40K,Blue,48,6,6,4,1225.0715758511708,1542,1086.0,0.93,1060.9349966627624,29.0,0.727,0.587
Attrited Customer,54.31832687144639,M,4,Unknown_Education,Single,$80K - $120K,Blue,37,6,8,2,4786.462716778466,2142,6641.0,0.662,1903.4660006667093,47.0,0.766,0.244
Existing Customer,46.917299837237,F,3,High School,Married,,Blue,28,3,4,1,,0,1967.0,0.73,2284.1064284216354,37.0,0.878,0.0
Existing Customer,43.24339902539893,M,3,Unknown_Education,Married,$40K - $60K,Blue,30,3,7,4,,739,3594.0,0.69,6233.495264519934,49.0,0.754,0.171
Existing Customer,66.5132167990872,M,2,Graduate,Married,$120K +,Blue,37,3,6,2,,1279,7677.0,0.864,1728.732480782448,40.0,1.212,0.143
Attrited Customer,53.49930730064044,M,5,Graduate,Married,$60K - $80K,Blue,34,3,7,3,5418.203807346745,2517,8090.0,1.197,770.2802344935463,15.0,0.538,0.237
Attrited Customer,68.1665291237694,F,2,Doctorate,Married,Less than $40K,Blue,36,1,6,3,516.525465707423,950,665.0,0.507,910.8639041045328,25.0,0.387,0.588
Attrited Customer,44.26306282330785,F,2,High School,Married,Less than $40K,Blue,22,4,7,3,953.5256520588325,1848,696.0,0.804,674.4733088633072,25.0,0.441,0.726
Attrited Customer,57.86708453209317,M,2,Graduate,Single,$60K - $80K,Blue,26,4,6,2,5675.714499158485,1775,9986.0,0.925,2207.7220948743166,27.0,0.698,0.151
Existing Customer,46.10054935526655,M,3,Graduate,Married,,Blue,33,4,7,2,1912.3842886813786,1875,1602.0,0.907,921.1572807074025,20.0,1.083,0.539
Attrited Customer,61.301770941687145,F,4,Graduate,Unknown,Less than $40K,Blue,36,5,5,2,1438.0890815484088,2480,220.0,0.686,598.2153421673945,24.0,0.531,0.919
Existing Customer,66.43682352823264,F,3,Graduate,Unknown,$40K - $60K,Blue,45,5,7,0,,1710,9149.0,0.974,1358.6391033016557,33.0,0.829,0.157
Existing Customer,63.75992523011305,F,3,Unknown_Education,Married,,Blue,40,1,8,3,1014.9837245154406,1747,1620.0,0.769,1818.6407966886761,32.0,0.517,0.519
Attrited Customer,59.26844923901874,M,2,Graduate,Married,$80K - $120K,Blue,42,6,7,0,7531.031962895904,2517,19358.0,0.409,587.9959283185686,11.0,0.409,0.115
Attrited Customer,67.82293979290387,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,5,6,2,919.5190584727333,1606,761.0,0.956,1973.6609914113187,27.0,0.639,0.678
Existing Customer,69.93822422044863,M,1,Unknown_Education,Single,$120K +,Blue,38,2,8,3,3849.937855234674,1858,10197.0,0.645,2840.5236866555474,33.0,0.5,0.154
Existing Customer,40.2169160209689,M,3,Post-Graduate,Married,$80K - $120K,Blue,28,3,5,2,1790.6691436259075,0,4380.0,0.719,6961.409687759527,67.0,0.704,0.0
Attrited Customer,50.44471673453433,M,3,College,Married,$60K - $80K,Blue,48,5,5,2,,0,1438.3,0.618,1208.0949148447803,41.0,0.659,0.0
Attrited Customer,59.0138489133328,M,3,College,Divorced,,Blue,38,2,7,3,4111.549272600867,1143,8816.0,0.661,1564.3118412052138,40.0,0.638,0.115
Attrited Customer,70.97002554434339,F,0,Graduate,Single,Less than $40K,Blue,48,2,6,5,2466.506649734378,1334,2965.0,0.66,3414.9332647472966,64.0,0.685,0.31
Attrited Customer,66.88108308470117,M,2,High School,Divorced,$60K - $80K,Blue,36,5,7,2,3759.942222160397,2100,5653.0,0.839,299.1409611827416,11.0,0.733,0.271
Attrited Customer,51.8599893923232,M,2,Unknown,Married,$120K +,Blue,36,6,5,2,6239.015897648014,492,15589.0,0.204,2490.008376994688,29.0,0.564,0.031
