Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,churn,prediction,proba
Existing Customer,45.72597761352375,F,2,Graduate,Married,Less than $40K,Blue,32,5,9,3,2527.126895955884,0,4429.0,1.065,489.1819739684595,13.0,0.818,0.0,0,1,0.9839391063852114
Attrited Customer,68.32946150378149,F,2,Unknown_Education,Married,Less than $40K,Blue,41,5,8,3,796.4996374856846,0,1438.3,0.691,1647.4309103842272,38.0,1.229,0.0,1,0,0.04465245086090054
Attrited Customer,41.17639194087914,F,1,Unknown,Single,,Blue,20,3,4,2,,0,1695.0,0.561,858.9290768267017,16.0,0.593,0.0,1,1,0.9986822040556326
Existing Customer,61.76464534551061,F,2,Unknown,Single,,Blue,36,3,6,2,735.4926405283051,1023,863.0,0.708,1432.6480850368114,30.0,0.884,0.542,0,0,0.027000113111165208
Existing Customer,61.73872058381065,M,1,Unknown,Single,$120K +,Blue,44,5,9,1,10633.017144702762,0,17827.0,0.846,2068.460344003485,29.0,0.725,0.0,0,1,0.7249527830095762
Existing Customer,51.735021719863,F,3,Unknown_Education,Married,,Blue,36,6,6,3,1218.0819945414212,1509,850.0,1.1,2334.3993117020414,36.0,0.814,0.64,0,0,0.04189337255001176
Attrited Customer,71.11718984963144,F,1,Graduate,Single,Less than $40K,Blue,41,6,6,4,908.1514750870678,482,2519.0,0.814,1104.2963456857772,16.0,0.615,0.161,1,1,0.8247286606157169
Existing Customer,68.10687999251968,M,4,Graduate,Married,$120K +,Silver,45,4,7,3,18902.077314192225,0,34516.0,0.849,4844.468915900564,45.0,0.724,0.0,0,1,0.879127808206156
Existing Customer,47.68503319674372,M,3,Unknown_Education,Married,$40K - $60K,Blue,41,5,7,2,800.1467385628488,0,2564.0,1.026,887.8684652275158,16.0,0.364,0.0,0,1,0.9866003074815838
Existing Customer,45.04777175075428,M,3,Unknown_Education,Single,$60K - $80K,Blue,36,4,6,2,2733.8686549669064,1582,3762.0,0.537,479.19667590034,13.0,1.0,0.296,0,1,0.5097238777283276
Attrited Customer,66.123051384098,F,0,High School,Unknown,Less than $40K,Blue,34,4,9,3,1003.9225853241333,632,1591.0,0.665,1127.7142957679644,23.0,0.581,0.284,1,0,0.4141155193664989
Attrited Customer,54.62330557190974,M,3,Unknown_Education,Married,$120K +,Blue,35,2,6,3,2126.4047633083123,1122,3794.0,0.659,2235.963094249926,28.0,0.706,0.228,1,1,0.9787599425731803
Existing Customer,64.33279345529671,M,3,Unknown,Married,$60K - $80K,Blue,36,4,8,4,2386.019220579893,1582,4411.0,0.44,1226.4993569902622,20.0,0.684,0.264,0,0,0.001314549804545763
Existing Customer,65.88053784903435,M,2,Unknown_Education,Married,$80K - $120K,Blue,36,4,8,3,,1049,22461.0,0.438,718.306113432878,17.0,0.296,0.045,0,1,0.9391249928059429
Attrited Customer,60.66809646084373,F,2,College,Married,Less than $40K,Blue,33,1,9,2,,1405,2015.0,0.843,1800.263810759032,44.0,0.596,0.411,1,1,0.8422554572751271
Attrited Customer,66.01654695182762,M,2,College,Single,Less than $40K,Blue,36,3,8,3,,1955,616.0,0.531,491.4778994995352,11.0,0.714,0.76,1,1,0.9518039036854605
Attrited Customer,59.39245907513261,F,2,Unknown_Education,Married,,Blue,48,3,9,3,868.1326379864302,0,1638.0,0.163,716.5857122312382,12.0,0.125,0.0,1,1,0.9997984092929376
Existing Customer,51.557472534736846,F,0,Post-Graduate,Single,Less than $40K,Blue,18,6,7,2,1204.2023892987668,797,1335.0,0.779,1274.79868158025,33.0,0.574,0.374,0,0,0.06127573894018416
Existing Customer,58.09891258574727,F,3,Uneducated,Married,Less than $40K,Blue,45,3,6,3,1093.7318758007982,1300,938.0,1.071,1438.3142239972233,36.0,0.756,0.581,0,0,0.007240981158161564
Attrited Customer,49.76351979815307,F,2,Graduate,Unknown,$40K - $60K,Blue,36,3,4,2,984.8258577526396,1250,886.0,0.74,1635.942940923928,40.0,0.66,0.585,1,0,0.04974568553700585
Existing Customer,56.62507349171922,F,4,Unknown_Education,Single,Less than $40K,Blue,32,3,5,3,3267.613062244915,0,6158.0,1.411,702.9596947195022,34.0,0.784,0.0,0,1,0.9675489487775574
Existing Customer,57.61781053937975,F,4,Unknown_Education,Married,Less than $40K,Blue,18,5,5,2,946.7706090081974,2024,906.0,0.903,833.9275237372551,14.0,0.7,0.691,0,1,0.8682265103818008
Attrited Customer,51.50750225611449,F,2,Uneducated,Married,Unknown,Blue,36,1,8,3,6360.27016731693,1733,12002.0,0.614,653.4047729561694,19.0,0.654,0.126,1,1,0.9984378918197386
Attrited Customer,67.77277776166181,F,2,Uneducated,Married,$40K - $60K,Blue,36,5,5,4,517.4533428588566,0,1438.3,0.529,685.2582762625075,21.0,0.5,0.0,1,1,0.9980589415031994
Existing Customer,50.66117606390954,M,4,Graduate,Single,$40K - $60K,Blue,36,5,7,3,4076.4993472928177,0,11346.0,0.665,784.6759699237997,24.0,0.457,0.0,0,1,0.9966048421068735
Existing Customer,48.85331998804892,F,3,Unknown_Education,Married,Less than $40K,Blue,36,6,9,1,2093.90537501852,1483,3476.0,0.902,1789.2603466367364,34.0,0.614,0.299,0,0,0.03479667447625789
Existing Customer,48.14683092591155,F,2,Graduate,Single,,Blue,31,2,7,1,2028.1228434558584,0,3659.0,0.797,1974.005536842681,25.0,0.694,0.0,0,1,0.9807426098274137
Attrited Customer,49.21282217404704,F,3,High School,Divorced,Less than $40K,Blue,37,2,7,2,,0,2052.0,0.77,1607.638810440117,31.0,0.674,0.0,1,1,0.9065336621266676
Existing Customer,65.2307357657655,F,1,Unknown,Married,Less than $40K,Blue,36,3,7,3,1397.8399990258206,2081,801.0,0.644,1756.3368400820584,47.0,0.661,0.722,0,0,0.016985384756171965
Existing Customer,52.92603380339592,F,2,Post-Graduate,Married,,Blue,28,5,4,1,1928.5331744887208,1910,3104.0,0.863,574.1403882619476,13.0,1.5,0.381,0,1,0.6978188222844408
Existing Customer,78.31420203997484,F,1,High School,Unknown,$40K - $60K,Blue,42,3,7,1,1137.9637050253532,1884,658.0,0.715,1042.131086688492,48.0,1.095,0.741,0,0,0.012331402238770377
Attrited Customer,70.82490267711707,M,2,High School,Single,$80K - $120K,Blue,52,6,6,4,15389.859276864105,0,32409.0,0.943,1090.4357310568448,32.0,0.571,0.0,1,1,0.8289989759636806
Existing Customer,68.35471196124911,F,3,Unknown_Education,Single,Less than $40K,Blue,36,6,9,2,3746.938772351441,1156,6440.0,0.611,2027.367043608364,36.0,0.738,0.152,0,1,0.5290622674633838
Existing Customer,60.0129176356871,F,0,Uneducated,Married,Less than $40K,Blue,42,3,7,2,1785.3798240038536,1594,2155.0,0.738,2662.472504264503,36.0,0.534,0.425,0,1,0.9839432846810829
Attrited Customer,49.76283518137763,F,2,Unknown_Education,Married,Less than $40K,Blue,32,3,7,2,1938.5141082303044,1980,1322.0,0.625,811.6863013346398,37.0,0.711,0.6,1,1,0.9258479603646906
Existing Customer,52.99747758667695,F,2,High School,Married,Less than $40K,Blue,36,6,8,1,801.9587247948606,0,1438.3,0.909,1268.362970769156,31.0,0.907,0.0,0,0,0.06201550946132683
Existing Customer,51.56087293851251,M,4,Graduate,Single,$120K +,Silver,36,2,6,1,12555.68607691981,1635,32881.0,0.768,2927.407721950202,26.0,0.564,0.047,0,1,0.9826452606477816
Existing Customer,47.71744967540127,M,2,Unknown,Married,$120K +,Blue,31,3,8,4,15078.312309077844,1067,33449.0,0.487,1316.007154241992,28.0,0.636,0.031,0,0,0.0860150036833823
Existing Customer,83.07918693294108,F,1,Graduate,Married,$40K - $60K,Blue,46,5,7,2,,1507,935.0,0.631,2018.7477022702128,40.0,0.809,0.617,0,0,0.10423454494284741
Attrited Customer,48.20662806081297,F,3,Uneducated,Married,Less than $40K,Blue,27,6,6,3,1308.4020626622223,1791,438.0,1.139,351.74810211429343,14.0,0.6,0.803,1,1,0.8346255772329138
Attrited Customer,47.56936896961646,F,3,Unknown_Education,Married,Less than $40K,Blue,34,3,7,2,1377.9821389332994,1981,469.0,0.712,965.200960697922,36.0,0.784,0.809,1,0,0.19309915129110888
Existing Customer,65.01971470669454,M,0,Unknown,Single,$60K - $80K,Blue,42,1,7,0,5429.779867677508,1168,12241.0,0.625,939.385672158652,48.0,0.745,0.087,0,1,0.7659542102575504
Attrited Customer,66.47885906428925,M,5,Graduate,Divorced,$120K +,Blue,45,6,6,6,18191.074842808703,0,34516.0,0.757,2327.561017704136,40.0,1.022,0.0,1,1,0.9746056569092367
Attrited Customer,59.588507563905786,F,0,Graduate,Married,Less than $40K,Blue,36,1,5,3,905.7880477353754,0,1740.0,0.811,1411.21556076913,31.0,0.86,0.0,1,1,0.9835620697692665
Existing Customer,58.5656731552867,M,3,Unknown_Education,Single,$80K - $120K,Blue,36,6,6,0,8977.252490085995,895,28640.0,0.952,1419.6622529675851,32.0,0.644,0.03,0,0,0.006231249605057005
Existing Customer,50.08854547188108,M,3,High School,Single,$60K - $80K,Blue,37,3,6,3,1891.8750237728284,0,5951.0,0.742,1035.3895882796428,32.0,0.867,0.0,0,1,0.7360781210666109
Existing Customer,56.26102511854182,M,1,High School,Married,$80K - $120K,Blue,36,6,8,2,4345.981410148808,994,9594.0,0.786,1909.244825550997,41.0,0.585,0.094,0,0,0.014969081715921753
Existing Customer,62.126153110706696,F,3,Graduate,Single,Less than $40K,Silver,39,4,8,2,6137.436758949128,1260,10962.0,1.138,744.8129804281851,40.0,0.733,0.103,0,1,0.7170532127404989
Existing Customer,51.668644334978765,M,2,Unknown_Education,Divorced,$80K - $120K,Blue,34,5,9,2,568.0419028897157,0,1452.0,0.97,1843.74792473191,28.0,0.846,0.0,0,0,0.011662170620014076
Existing Customer,63.78616269716052,M,2,Unknown,Unknown,$120K +,Blue,33,6,8,2,,1014,18701.0,1.437,890.851265756516,14.0,0.667,0.051,0,0,0.060056787835869804
Existing Customer,63.76704241900372,M,4,Unknown,Married,$120K +,Gold,46,6,7,3,12886.56785641596,2264,32252.0,1.975,653.476028322427,15.0,0.722,0.066,0,1,0.5231689464259185
Attrited Customer,52.21390908335013,M,4,Graduate,Single,$60K - $80K,Blue,26,6,5,0,1764.1463697494237,917,3617.0,0.84,952.609759315411,27.0,0.61,0.202,1,0,0.03048895317749347
Attrited Customer,41.06367038015419,F,3,Graduate,Married,Less than $40K,Blue,25,4,7,4,1294.4152065875128,2517,513.0,0.785,828.9962394336085,13.0,0.467,0.831,1,1,0.9966875306552342
Attrited Customer,62.25794862396292,F,3,Unknown,Single,Unknown,Blue,34,2,6,3,11897.774430248644,0,26021.0,1.04,4397.440046182202,35.0,0.538,0.0,1,1,0.9990554983959664
Attrited Customer,63.05673161180045,F,3,Doctorate,Unknown,Unknown,Blue,38,1,8,2,2034.820997448499,1594,2478.0,0.678,1653.2125203387511,44.0,0.886,0.391,1,1,0.8084860193203188
Existing Customer,77.05103376033892,M,0,Unknown,Single,$40K - $60K,Blue,36,5,8,3,1231.708478344098,932,1231.0,1.127,690.6683845410948,31.0,0.839,0.431,0,1,0.8281502458762892
Existing Customer,61.99527559971815,F,2,College,Single,,Blue,40,4,6,3,1171.7399684627094,2379,404.0,0.912,1927.285980957796,25.0,1.0,0.855,0,0,0.1660613614535462
Attrited Customer,60.30207060842933,F,4,High School,Divorced,$40K - $60K,Blue,31,5,6,4,1766.143534986052,1170,3531.0,0.547,1445.0166197613958,42.0,0.604,0.249,1,0,0.018402249579440835
Attrited Customer,45.58546143124492,M,3,Doctorate,Married,$60K - $80K,Blue,29,3,5,3,,2517,1020.0,1.021,447.7597609552839,17.0,0.344,0.712,1,1,0.9979602941292686
Existing Customer,49.6597042871835,M,5,Unknown_Education,Single,$120K +,Blue,39,6,9,1,,1839,2050.0,0.911,1873.0231930591028,33.0,0.703,0.473,0,0,0.027693259488740428
Attrited Customer,54.12219456562799,M,0,Unknown_Education,Married,$60K - $80K,Blue,29,3,8,3,623.3222579125937,0,1460.0,0.738,783.7026309858622,15.0,0.5,0.0,1,1,0.9987872714062338
Attrited Customer,47.89033740149785,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,9,1,1880.716672249056,1954,1241.0,0.971,503.1374417252634,11.0,0.706,0.612,1,1,0.9833472958649908
Existing Customer,50.40781982698175,M,3,Graduate,Single,$120K +,Blue,29,4,6,0,5766.19013826965,941,8762.0,0.721,1996.8012681491111,26.0,1.025,0.097,0,0,0.010967736681462125
Existing Customer,70.39864536034062,M,3,College,Married,$120K +,Blue,50,3,5,0,5412.737315945295,2250,7439.0,0.576,420.8007803122931,10.0,0.727,0.232,0,1,0.7896565635368289
Attrited Customer,58.40647252027006,F,1,Doctorate,Single,Less than $40K,Blue,45,5,6,1,605.4643721538929,1411,541.0,0.642,495.9882427076558,25.0,0.63,0.723,1,1,0.8893371075587327
Existing Customer,49.87770994188163,F,4,Unknown_Education,Married,Unknown,Blue,25,2,7,2,,587,2792.0,0.67,1300.6347444687324,32.0,0.702,0.174,0,1,0.7341384653332639
Attrited Customer,75.27027479195877,M,2,Graduate,Single,$120K +,Blue,41,1,8,1,14978.859943110969,810,30858.0,0.643,822.5323590981604,18.0,0.5,0.026,1,1,0.9993108276355475
Attrited Customer,49.39058731733116,M,4,Unknown_Education,Single,$80K - $120K,Blue,31,3,7,3,9043.630633341303,1303,18416.0,0.91,3880.618446465142,43.0,0.565,0.066,1,1,0.901982535533918
Existing Customer,63.39745775309292,M,2,Uneducated,Married,$120K +,Silver,43,1,5,2,20061.68614389828,1588,32928.0,0.745,2579.683672393116,32.0,0.688,0.046,0,1,0.9923733790080137
Existing Customer,37.32708256354306,M,1,Unknown,Single,$40K - $60K,Silver,16,3,6,1,7597.04686434068,2517,15377.0,0.731,4368.819203637231,51.0,0.586,0.141,0,0,0.34100736316056124
Attrited Customer,52.18426175644538,F,5,Unknown_Education,Married,$40K - $60K,Blue,25,3,8,6,551.2108847796584,0,1438.3,0.763,1138.696545056443,26.0,0.517,0.0,1,1,0.9964979723978555
Existing Customer,52.55013556397224,M,3,College,Single,$60K - $80K,Silver,32,4,5,2,17782.0801807479,1671,28411.0,0.707,4392.97854205161,71.0,0.8,0.056,0,0,0.0006161507609976822
Attrited Customer,51.64829170294208,M,4,Uneducated,Single,$60K - $80K,Blue,20,3,8,6,1915.789048125692,1384,2556.0,0.908,1095.2930368610134,29.0,0.767,0.351,1,1,0.8143766927168283
Existing Customer,68.29456045202448,M,3,Unknown,Single,$120K +,Silver,49,1,6,1,17563.543953581382,2517,31999.0,0.693,3228.7795804279426,58.0,0.672,0.073,0,0,0.48638759404404863
Existing Customer,60.75966209177516,F,3,Unknown_Education,Married,Less than $40K,Blue,36,6,7,2,3295.431944656219,0,5821.0,0.859,1040.0365419182256,40.0,1.188,0.0,0,0,0.04461313464096389
Existing Customer,71.06149890259275,F,0,Unknown,Married,Unknown,Blue,52,6,4,1,1226.143292273794,1707,976.0,1.254,550.4455650818436,10.0,0.941,0.636,0,0,0.36534754820360443
Existing Customer,33.326825210084,F,1,Uneducated,Single,Less than $40K,Blue,28,6,6,4,838.0057103413365,1708,680.0,0.903,1761.4407014241203,47.0,0.745,0.715,0,0,0.00433427401519053
Attrited Customer,61.10620024305398,M,3,Graduate,Single,$80K - $120K,Blue,30,4,8,3,1994.0345328721887,688,3492.0,0.747,801.6874094932255,26.0,0.727,0.165,1,1,0.9815589845267411
Existing Customer,64.93213060869402,F,2,College,Married,Less than $40K,Blue,40,1,7,1,1229.751138319909,1276,820.0,0.6,1345.568625295926,26.0,0.745,0.609,0,1,0.6584412048432438
Existing Customer,50.7054502937301,M,1,College,Married,,Blue,43,6,7,4,8055.02771132664,1560,20476.0,0.555,1007.9945039941028,15.0,0.714,0.071,0,0,0.06356858989641734
Existing Customer,55.58236130076999,M,3,Graduate,Single,,Blue,35,3,9,3,,0,21374.0,0.631,1701.0568330630852,33.0,0.681,0.0,0,1,0.8312251488332755
Attrited Customer,62.17654145350984,F,1,Post-Graduate,Single,$40K - $60K,Blue,46,1,6,3,558.0451475465775,932,561.0,0.466,502.2404732032172,22.0,0.344,0.624,1,1,0.9995604766579071
Attrited Customer,56.60795240256572,F,4,Unknown,Single,$40K - $60K,Blue,36,4,8,2,,509,9086.0,0.625,1512.1090338556724,23.0,0.5,0.053,1,1,0.6298235896750585
Existing Customer,59.45826152335911,F,3,High School,Single,Less than $40K,Blue,37,5,7,0,,806,3555.0,0.627,2071.669973567733,30.0,0.75,0.185,0,0,0.22832065424035491
Attrited Customer,58.982386494645255,F,4,College,Married,Less than $40K,Blue,27,6,6,1,616.4166303869328,0,2043.0,1.019,1054.8120424479102,46.0,0.711,0.0,1,0,0.2516726850761578
Attrited Customer,63.26699379847445,M,2,Uneducated,Divorced,,Blue,49,4,8,3,3316.7751186375976,1873,8254.0,0.573,807.8416116475227,17.0,0.472,0.185,1,1,0.9751981824497002
Existing Customer,48.8279302739512,M,3,Unknown,Single,$40K - $60K,Silver,24,3,4,3,8115.323865599485,1663,13470.0,0.646,1210.8141753957414,36.0,0.511,0.11,0,0,0.2662020925580434
Existing Customer,69.60930001406352,F,2,Uneducated,Single,Less than $40K,Blue,43,6,6,4,992.7533790660368,633,2373.0,0.733,2175.8441698740544,31.0,0.65,0.211,0,1,0.9221092050691982
Attrited Customer,50.51678935711949,M,3,Graduate,Married,$120K +,Blue,29,5,7,4,4998.570973820532,1945,10907.0,0.659,764.9287104686176,19.0,0.941,0.151,1,1,0.924147618927936
Attrited Customer,70.26164925882706,M,2,Unknown_Education,Single,$40K - $60K,Blue,50,2,7,3,1833.8129385143925,2517,1165.0,0.379,794.0546652333842,11.0,0.25,0.684,1,1,0.999526654395546
Existing Customer,63.23732647908722,F,4,High School,Married,Less than $40K,Blue,36,6,6,3,1079.8290303468543,1170,1804.0,1.297,544.4492711254252,24.0,1.143,0.393,0,0,0.12231685760313171
Existing Customer,62.26953325733452,F,3,High School,Single,Less than $40K,Blue,38,1,7,2,1048.4605825750468,1345,414.0,0.61,933.5294859610444,32.0,0.688,0.765,0,1,0.969007141338495
Attrited Customer,52.01990335001324,M,3,Unknown_Education,Single,Less than $40K,Blue,38,6,5,2,697.2664480821057,1047,1064.0,0.971,976.4568174841704,47.0,0.952,0.496,1,0,0.07686339163082373
Existing Customer,59.28278788772519,F,2,Uneducated,Single,,Blue,35,4,6,1,1243.6333725289671,2458,326.0,0.798,2433.505450850346,29.0,0.8,0.883,0,1,0.8767131351965816
Existing Customer,65.77425397152341,F,2,Unknown,Single,Less than $40K,Blue,36,6,6,1,883.4057932577954,1041,502.0,0.92,2079.5618599988275,30.0,0.647,0.675,0,0,0.03785683216630822
Existing Customer,70.41986917664352,M,4,College,Single,$60K - $80K,Blue,35,1,6,2,7081.6851991052245,1817,15533.0,0.816,6402.548440739173,63.0,0.873,0.105,0,1,0.7711180880593327
Attrited Customer,66.15525468150169,M,2,Graduate,Married,$120K +,Blue,50,3,7,0,6284.895581322946,1536,9380.0,1.317,795.6559967425798,11.0,1.0,0.141,1,0,0.10209443057101895
Existing Customer,51.0803572572266,F,2,Unknown,Single,Less than $40K,Blue,36,2,8,3,1605.6009398508895,1054,2515.0,0.775,2384.5377575111347,30.0,0.574,0.295,0,1,0.9985404124125324
Existing Customer,67.24259752433717,F,2,Post-Graduate,Single,Less than $40K,Blue,45,2,7,2,777.047267036545,710,819.0,0.657,1249.3368588283226,40.0,0.884,0.464,0,1,0.6710549885108257
Attrited Customer,58.58055156991296,F,3,Graduate,Single,$40K - $60K,Blue,36,5,8,2,3148.5103209856256,883,5391.0,0.626,1260.4899110984384,39.0,0.708,0.141,1,0,0.01811815236309519
Existing Customer,47.83255629005586,F,1,Unknown_Education,Divorced,Less than $40K,Blue,36,3,9,4,1063.2551558482735,1017,818.0,0.82,824.8747198671656,37.0,0.519,0.554,0,1,0.9844002747938589
Attrited Customer,69.97328029143831,F,3,Doctorate,Single,,Blue,39,4,7,3,987.1430158557708,0,1764.0,0.651,1182.8137898757543,38.0,0.804,0.0,1,0,0.47818140663981723
Attrited Customer,67.87205682930747,M,2,Unknown,Married,$40K - $60K,Blue,44,4,6,2,1028.4298747384642,2517,385.0,0.821,231.3396734500594,13.0,0.444,0.867,1,1,0.9916542779938141
Attrited Customer,39.213717646827305,F,0,Graduate,Single,Less than $40K,Blue,17,3,8,1,2905.684055892813,1090,3778.0,0.679,895.8864135332446,27.0,0.816,0.224,1,0,0.23520982727629272
Existing Customer,49.174436027823866,M,2,Unknown,Single,$60K - $80K,Blue,30,6,6,2,,600,9227.0,0.477,842.8244422427957,29.0,0.537,0.061,0,1,0.9797492643403141
Attrited Customer,60.53821584838241,M,3,Unknown_Education,Married,$80K - $120K,Blue,36,6,9,3,866.8137456383535,2185,605.0,0.671,1685.8170571583123,29.0,0.755,0.783,1,0,0.01132999066340997
Attrited Customer,74.71123555819455,F,1,Unknown_Education,Unknown,,Blue,55,4,6,3,,0,1438.3,0.573,1391.0014720586505,39.0,0.723,0.0,1,0,0.18597998777396157
Attrited Customer,69.78832057174986,M,2,Unknown,Married,$120K +,Blue,36,5,7,2,13377.70953398,0,28600.0,0.506,2064.750305047254,32.0,0.61,0.0,1,1,0.9414375884243319
Existing Customer,43.888892516806095,F,2,Unknown,Married,Less than $40K,Blue,19,5,7,1,1036.856954804052,2095,1061.0,1.281,1233.323993938111,24.0,0.75,0.664,0,0,0.001971397128732706
Existing Customer,56.87084885769352,M,3,Unknown_Education,Divorced,,Blue,37,5,6,4,2044.003300611137,0,6457.0,0.531,2007.6401477909503,23.0,0.431,0.0,0,1,0.9884495698993803
Existing Customer,43.750625149780106,M,1,Graduate,Married,$40K - $60K,Blue,23,6,8,2,2594.311554520617,1378,5612.0,0.73,571.258219596945,13.0,0.611,0.197,0,1,0.7857709568780185
Attrited Customer,47.19581183050292,M,1,Unknown_Education,Married,$80K - $120K,Blue,19,5,7,2,3763.765115244148,2377,7582.0,1.1,427.500747755713,18.0,0.696,0.239,1,1,0.6833255836996235
Attrited Customer,65.26641741764847,M,3,Uneducated,Married,$40K - $60K,Blue,36,3,6,1,5194.69431305615,607,10012.0,0.883,1767.6834652299851,20.0,0.477,0.057,1,1,0.6868417598282142
Attrited Customer,53.39926802133281,F,3,Unknown_Education,Single,Less than $40K,Blue,28,6,6,2,803.5928333085552,0,1951.0,0.772,740.49286198849,18.0,0.731,0.0,1,1,0.9918628558564865
Attrited Customer,59.30209662808975,F,4,Unknown_Education,Divorced,Unknown,Blue,42,4,10,1,,0,12091.0,0.898,3661.290353127101,35.0,0.805,0.0,1,1,0.7907097131665021
Attrited Customer,53.10292321921145,M,3,Graduate,Married,,Blue,21,5,7,2,2439.6623526416024,1963,3052.0,0.881,914.7299555491088,17.0,0.87,0.391,1,0,0.14518392521723736
Attrited Customer,64.89248953542187,M,0,Graduate,Single,$60K - $80K,Blue,54,2,7,4,6497.912258118041,1644,10215.0,0.866,3869.566748089032,29.0,0.837,0.139,1,1,0.9659486923848958
Attrited Customer,56.74167500553232,F,3,High School,Unknown,Less than $40K,Blue,37,3,5,4,3406.063698798968,974,6228.0,0.517,485.9958599980615,19.0,0.5,0.135,1,1,0.9901337633299357
Attrited Customer,27.01519984266084,M,0,Graduate,Married,$40K - $60K,Blue,36,3,7,4,5478.26177357809,829,10644.0,0.707,1035.5335603232486,16.0,0.519,0.072,1,0,0.15739769189581776
Existing Customer,61.80941214393548,M,3,Unknown,Single,$80K - $120K,Blue,36,3,10,1,1114.912424856523,1268,1248.0,0.751,1269.5301841669818,33.0,0.818,0.504,0,0,0.012473678620576838
Existing Customer,56.15412010540079,F,2,College,Married,Unknown,Blue,29,2,5,0,1865.3067236930724,1172,2637.0,0.9,1823.0900277962785,31.0,0.976,0.308,0,0,0.13936278073690175
Existing Customer,63.78234317894695,F,3,High School,Single,,Blue,37,4,5,1,1113.8806347511868,1110,2300.0,0.63,1780.292062568708,36.0,0.615,0.326,0,0,0.2772073293889509
Attrited Customer,53.49233356191412,F,2,Graduate,Single,Unknown,Blue,27,4,6,3,1823.9068924852684,1513,2925.0,0.807,1308.4076556808966,30.0,0.829,0.341,1,0,0.013136773152369012
Attrited Customer,54.662530044008825,F,1,Uneducated,Unknown,Less than $40K,Blue,38,6,8,1,1825.864889769053,1820,1523.0,0.727,1001.0747403897918,30.0,0.703,0.544,1,0,0.04625038253967178
Attrited Customer,56.299940957755005,M,4,High School,Single,$40K - $60K,Blue,36,5,5,2,,794,644.3,0.807,1221.155755834574,22.0,0.558,0.552,1,0,0.036150553411867486
Attrited Customer,54.53358185171642,F,3,College,Married,Less than $40K,Blue,41,3,6,3,899.7670756217188,749,854.0,0.733,921.054946729011,22.0,0.483,0.467,1,1,0.964597882764644
Existing Customer,60.19028696375864,M,3,High School,Married,$80K - $120K,Blue,36,6,9,3,14677.630618112164,1194,29016.0,0.948,1645.9000697258675,38.0,0.667,0.04,0,0,0.008171886656725434
Existing Customer,47.65362667502871,F,2,High School,Married,$40K - $60K,Blue,29,6,4,1,4093.808205996369,2047,7126.0,1.419,499.69399603702857,16.0,0.737,0.223,0,0,0.3958156538876132
Attrited Customer,60.657802213854566,M,1,Graduate,Single,$60K - $80K,Gold,36,1,8,2,20201.1037641755,1662,32854.0,0.751,6250.509159292524,42.0,0.615,0.048,1,1,0.991379340967961
Attrited Customer,65.26409145378135,M,2,High School,Single,$40K - $60K,Blue,36,5,7,2,3478.2974454213527,0,6362.0,0.596,850.194236792381,25.0,0.759,0.0,1,1,0.9891951494096802
Attrited Customer,43.02820797705603,F,3,High School,Single,$40K - $60K,Blue,41,6,11,3,619.7456635351814,1355,366.0,0.926,1876.311411775581,18.0,1.32,0.787,1,0,0.0013854982594144727
Attrited Customer,64.24697288517866,F,4,Graduate,Married,Unknown,Blue,40,6,8,2,963.2486890458408,2221,311.0,0.491,397.6546265675353,9.0,0.235,0.877,1,1,0.9354946833242218
Existing Customer,71.30833988751141,F,1,High School,Single,Less than $40K,Blue,45,5,5,4,2364.947966100536,0,5330.0,0.515,1702.2147142408223,45.0,0.837,0.0,0,1,0.641835927413275
Existing Customer,45.83204387972684,F,2,Unknown_Education,Single,$40K - $60K,Blue,29,5,8,2,1852.673928280544,2331,945.0,0.567,949.6228429966455,31.0,0.511,0.712,0,0,0.45062681946134653
Attrited Customer,65.33727593215372,F,1,Graduate,Married,$40K - $60K,Blue,46,6,9,3,767.6542528430289,351,1281.0,0.721,704.8895391893825,14.0,0.483,0.215,1,1,0.9957572358095945
Existing Customer,55.90626963757747,F,2,Unknown_Education,Married,Less than $40K,Blue,28,4,6,0,762.603074953865,0,1438.3,1.017,913.7660401880116,36.0,0.872,0.0,0,0,0.28466993651171013
Attrited Customer,64.31637100539858,F,3,Graduate,Married,Less than $40K,Blue,37,4,8,1,2728.207590860098,0,6184.0,0.476,699.6565945633217,21.0,0.324,0.0,1,1,0.9870181937751066
Existing Customer,57.823043745617184,M,1,Graduate,Single,,Blue,36,6,5,2,10174.33983899624,895,17991.0,1.826,597.1690753635514,8.0,1.571,0.047,0,0,0.16884886043055253
Attrited Customer,62.45773515030926,F,4,College,Single,Less than $40K,Blue,36,2,5,3,884.3696797384554,0,2263.0,0.752,1030.4977299751388,13.0,0.375,0.0,1,1,0.9960113217779948
Attrited Customer,61.45952502722065,M,3,Graduate,Single,$80K - $120K,Blue,41,2,5,2,16263.441078700454,578,31848.0,1.042,370.7159976711256,10.0,0.474,0.018,1,1,0.9997778269665955
